"GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CSD_UID","CD_UID","CT_UID","CMA_UID","v_CA21_12: 0 to 14 years","v_CA21_13: 0 to 14 years","v_CA21_3: Population percentage change, 2016 to 2021","v_CA21_7: Land area in square kilometres","v_CA21_4: Total private dwellings","v_CA21_9: Total - Age","v_CA21_10: Total - Age","v_CA21_75: 15","v_CA21_76: 15","v_CA21_78: 16","v_CA21_79: 16","v_CA21_81: 17","v_CA21_82: 17","v_CA21_84: 18","v_CA21_85: 18","v_CA21_87: 19","v_CA21_88: 19","v_CA21_90: 20 to 24 years","v_CA21_91: 20 to 24 years","v_CA21_108: 25 to 29 years","v_CA21_109: 25 to 29 years","v_CA21_126: 30 to 34 years","v_CA21_127: 30 to 34 years","v_CA21_144: 35 to 39 years","v_CA21_145: 35 to 39 years","v_CA21_162: 40 to 44 years","v_CA21_163: 40 to 44 years","v_CA21_180: 45 to 49 years","v_CA21_181: 45 to 49 years","v_CA21_198: 50 to 54 years","v_CA21_199: 50 to 54 years","v_CA21_216: 55 to 59 years","v_CA21_217: 55 to 59 years","v_CA21_234: 60 to 64 years","v_CA21_235: 60 to 64 years","v_CA21_255: 65 to 69 years","v_CA21_256: 65 to 69 years","v_CA21_273: 70 to 74 years","v_CA21_274: 70 to 74 years","v_CA21_291: 75 to 79 years","v_CA21_292: 75 to 79 years","v_CA21_309: 80 to 84 years","v_CA21_310: 80 to 84 years","v_CA21_327: 85 years and over","v_CA21_328: 85 years and over","v_CA21_387: Average age","v_CA21_388: Average age","v_CA21_390: Average age","v_CA21_391: Average age","v_CA21_434: Occupied private dwellings by structural type of dwelling data","v_CA21_435: Single-detached house","v_CA21_436: Semi-detached house","v_CA21_437: Row house","v_CA21_438: Apartment or flat in a duplex","v_CA21_439: Apartment in a building that has fewer than five storeys","v_CA21_440: Apartment in a building that has five or more storeys","v_CA21_441: Other single-attached house","v_CA21_442: Movable dwelling","v_CA21_452: Average household size","v_CA21_457: Married or living common-law","v_CA21_458: Married or living common-law","v_CA21_548: One-parent-family households","v_CA21_545: Couple-family households","v_CA21_549: Multigenerational households","v_CA21_546: With children","v_CA21_1026: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA21_1027: In low income based on the Low-income measure, after tax (LIM-AT)","v_CA21_1071: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA21_1072: In low income based on the Low-income cut-offs, after tax (LICO-AT)","v_CA21_1101: Adjusted after-tax family income decile group for the population in private households","v_CA21_1102: Adjusted after-tax family income decile group for the population in private households","v_CA21_1139: Inequality measures for the population in private households","v_CA21_1148: English only","v_CA21_1149: English only","v_CA21_907: Median after-tax income of household in 2020 ($)","v_CA21_910: Median after-tax income of one-person households in 2020 ($)","v_CA21_913: Median after-tax income of two-or-more-person households in 2020 ($)","v_CA21_960: $100,000 and over","v_CA21_1172: Neither English nor French","v_CA21_1173: Neither English nor French","v_CA21_1154: English and French","v_CA21_1155: English and French","v_CA21_1157: Neither English nor French","v_CA21_1158: Neither English nor French","v_CA21_1163: English","v_CA21_1164: English","v_CA21_1649: Tamil","v_CA21_1650: Tamil","v_CA21_1937: Korean","v_CA21_1938: Korean","v_CA21_1916: Italian","v_CA21_1917: Italian","v_CA21_1832: Hindi","v_CA21_1833: Hindi","v_CA21_1826: Bengali","v_CA21_1827: Bengali","v_CA21_1829: Gujarati","v_CA21_1830: Gujarati","v_CA21_1859: Punjabi (Panjabi)","v_CA21_1860: Punjabi (Panjabi)","v_CA21_1871: Urdu","v_CA21_1872: Urdu","v_CA21_1898: Iranian Persian","v_CA21_1899: Iranian Persian","v_CA21_1895: Dari","v_CA21_1896: Dari","v_CA21_2054: Mandarin","v_CA21_2055: Mandarin","v_CA21_2066: Yue (Cantonese)","v_CA21_2067: Yue (Cantonese)","v_CA21_2177: Non-official language","v_CA21_2178: Non-official language","v_CA21_2189: English and non-official language(s)","v_CA21_2190: English and non-official language(s)","v_CA21_2198: Multiple non-official languages","v_CA21_2199: Multiple non-official languages","v_CA21_3182: English and non-official language(s)","v_CA21_3183: English and non-official language(s)"
"35180017","DA","35180017",61.6327,797,298,282,"3518020","3518","9969935.00","",50,55,NA,61.63,298,400,395,5,5,5,5,5,5,5,5,5,10,25,25,25,20,15,15,20,15,20,25,25,30,30,35,45,40,40,40,30,25,30,15,10,10,5,5,10,10,45.1,43.8,49.6,48.4,285,275,5,0,5,0,0,0,0,2.8,220,225,10,185,10,95,20,25,10,10,400,400,795,385,370,105000,38000,115000,150,0,0,15,25,0,0,395,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,5,10,10,0,0,0,0
"35180018","DA","35180018",6.1125,1573,540,527,"3518029","3518","5350831.01","35535",150,145,NA,6.11,540,780,795,20,15,15,20,20,10,5,15,20,15,65,45,35,30,45,40,40,45,50,50,50,80,55,80,65,60,50,50,30,30,20,30,25,15,10,20,5,10,37.3,39.5,36,42,530,455,10,25,10,25,0,0,0,3,385,395,55,365,10,245,25,30,15,15,780,790,1575,725,710,117000,49200,127000,320,0,0,55,80,0,0,775,790,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,30,40,0,0,5,5
"35180019","DA","35180019",0.262,709,284,275,"3518029","3518","5350831.01","35535",55,60,NA,0.26,284,330,375,5,5,5,5,10,5,5,5,5,10,30,20,15,15,15,25,20,15,15,15,20,25,20,25,30,25,35,25,15,25,15,20,10,25,10,10,5,15,41.1,44.7,42,48,275,225,0,0,0,45,0,0,0,2.6,170,165,30,145,10,80,30,40,10,10,330,375,705,305,340,88000,36400,114000,115,0,0,25,35,0,0,325,375,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0
"35180021","DA","35180021",0.1923,490,231,214,"3518029","3518","5350831.02","35535",40,35,NA,0.19,231,240,250,5,0,5,5,5,0,0,0,0,0,15,15,20,15,15,15,25,20,10,15,15,10,15,15,15,20,25,25,5,25,10,10,10,10,0,5,0,5,39.6,45.4,38.8,46.8,215,125,10,0,15,65,0,0,0,2.3,120,120,20,105,5,55,10,10,5,10,240,250,490,230,230,77000,39200,102000,80,0,0,10,20,0,0,240,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,15,10,0,0,5,5
"35180022","DA","35180022",0.2121,407,206,194,"3518029","3518","5350831.02","35535",35,25,NA,0.21,206,195,210,0,0,0,5,0,0,0,5,5,0,10,5,15,15,20,20,20,20,10,10,10,15,10,10,15,25,20,20,10,15,5,10,5,5,5,5,0,5,39.2,43.6,36.4,44,195,95,10,15,10,60,0,0,0,2.1,90,90,20,85,0,40,15,20,5,0,195,210,405,185,190,68000,34800,90000,55,0,0,15,20,0,0,195,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,5,0,0,0,0
"35180024","DA","35180024",0.3922,486,173,171,"3518029","3518","5350831.01","35535",30,40,NA,0.39,173,235,250,0,5,5,5,5,10,0,5,5,0,15,5,10,10,10,15,15,10,10,15,10,20,20,20,20,30,25,25,20,15,10,15,10,5,5,0,5,5,43.2,43.6,45.6,48,170,165,0,0,10,0,0,0,0,2.8,135,135,10,120,10,65,10,10,0,5,235,250,485,225,220,115000,52800,130000,100,0,0,15,30,0,0,235,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,0
"35180025","DA","35180025",0.1754,503,215,215,"3518029","3518","5350831.02","35535",30,20,NA,0.18,215,220,285,5,5,0,5,10,5,0,5,0,0,20,15,5,10,15,15,10,15,10,5,10,15,20,25,15,30,20,25,10,25,15,20,10,20,5,20,10,20,46.8,52.8,49.6,57.2,215,75,15,115,5,0,0,0,0,2.3,125,125,30,110,10,50,10,15,5,10,220,280,500,210,250,83000,41600,98000,80,0,0,10,35,0,0,220,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,0,0,0,5
"35180026","DA","35180026",1.6556,1353,569,551,"3518029","3518","5350831.02","35535",100,100,NA,1.66,569,620,735,10,5,5,5,10,5,5,5,10,5,30,35,20,15,35,40,35,40,35,35,30,40,40,40,50,65,55,65,35,55,35,50,25,50,20,35,35,60,46,50.7,48.4,55.2,555,310,50,55,20,110,0,0,0,2.3,330,330,30,300,15,145,30,55,10,15,600,690,1290,555,660,83000,37200,113000,225,0,0,55,65,5,0,605,720,0,0,0,0,5,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,10,10,20,35,0,0,5,10
"35180027","DA","35180027",0.3599,633,201,201,"3518029","3518","5350831.01","35535",60,70,NA,0.36,201,300,335,5,5,5,5,0,0,5,0,5,5,25,25,10,20,15,20,20,15,15,25,30,20,15,30,30,30,20,25,15,10,5,10,5,5,0,5,5,0,37.6,37.3,38.8,38.8,205,155,0,40,0,0,0,0,0,3.2,160,165,25,150,10,115,5,15,5,10,300,335,635,280,300,128000,NA,133000,135,0,0,15,35,0,0,295,330,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0,0,0,0
"35180028","DA","35180028",4.4141,1343,495,485,"3518029","3518","5350831.01","35535",120,120,NA,4.41,495,660,685,5,0,5,5,10,5,5,10,10,5,40,40,30,20,20,35,45,35,40,40,40,50,30,35,50,65,50,60,45,40,40,40,25,35,20,25,10,20,41.9,44.8,43.2,47.2,485,430,5,15,5,30,0,0,0,2.8,360,355,30,330,10,190,25,30,10,5,655,685,1340,620,605,104000,37600,124000,260,0,0,40,80,0,0,650,670,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,25,35,0,0,5,5
